Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,2A,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000416,false,Rx,3,8,16,04,00,00,00,00,FF,FF,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000416,false,Rx,3,8,16,04,00,00,00,00,FF,FF,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,2A,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000416,false,Rx,3,8,16,04,00,00,00,00,FF,FF,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000416,false,Rx,3,8,16,04,00,00,00,00,FF,FF,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000416,false,Rx,3,8,16,04,00,00,00,00,FF,FF,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
0,0000018A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000168,false,Rx,3,8,10,40,88,00,D2,50,00,00,
0,0000018B,false,Rx,3,8,22,0C,30,00,00,00,00,00,
0,0000018C,false,Rx,3,8,0F,00,00,00,00,00,00,00,
0,0000018D,false,Rx,3,8,05,BB,97,5B,C0,00,00,0A,
0,0000018E,false,Rx,3,8,FF,FF,FF,FF,01,00,00,00,
0,0000018F,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,000001F7,false,Rx,3,8,00,00,00,40,00,00,00,00,
0,000001FA,false,Rx,3,8,FF,C0,00,00,00,00,00,00,
0,00000588,false,Rx,3,8,FF,00,00,00,00,00,00,00,
0,00000589,false,Rx,3,8,00,00,FF,07,29,00,00,00,
0,00000169,false,Rx,3,8,00,00,00,00,00,00,40,00,
0,0000016A,false,Rx,3,8,00,00,00,00,00,00,00,00,
0,00000188,false,Rx,3,8,40,A0,01,04,00,00,00,00,
0,00000189,false,Rx,3,8,00,00,00,00,00,00,00,3C,
